Z mean train,Q Predictions Max,Q Predictions Mean,Number of env steps total,Train Time (s),Q Predictions Min,QF Loss,RF Loss,KL Divergence,Policy log std Max,Policy Loss,Sample Time (s),Number of rollouts total,Policy log std Mean,Epoch,Log Pis Std,Epoch Time (s),KL Loss,Z mean eval,AverageReturn_all_train_tasks,R Predictions Mean,Policy log std Std,AverageReturn_all_test_tasks,Log Pis Mean,Policy log std Min,R Predictions Max,Q Predictions Std,R Predictions Std,VF Loss,V Predictions Std,V Predictions Min,Number of train steps total,Total Train Time (s),Log Pis Max,Z variance eval,Policy mu Std,Z variance train,Log Pis Min,Policy mu Min,R Predictions Min,V Predictions Max,Policy mu Mean,V Predictions Mean,(Previous) Eval Time (s),Policy mu Max
0.0251525,37.4232,27.3341,240000,103.83106323900029,-55.7209,13.1385,3.77034,0.09434814006090164,-0.086475,-29.5085,32.61829709299309,2700,-0.132415,10,0.313083,233.17738820399336,0.009434814564883709,0.0121393,-20.8485568695,-0.00482561,0.00772366,-20.8753061317,-2.70751,-0.156214,-0.00355892,12.5844,0.000426872,0.586187,12.7355,-48.5645,11000,2743.5306734499923,-1.09191,0.961876,0.0903655,0.95801,-4.80046,-0.302804,-0.00589534,40.464,0.0131801,29.8068,96.72802787199998,0.304871
0.0121719,39.9321,30.4866,255000,105.71294123300049,-47.8922,17.2007,3.86323,0.05367404595017433,-0.0935374,-33.1076,32.746275856001375,2900,-0.132128,11,0.313123,235.8330144770025,0.005367404781281948,0.0232538,-21.2833625055,-0.00467932,0.00790535,-21.4248020497,-2.70716,-0.201419,-0.00379215,11.9074,0.000353094,0.87388,11.8319,-45.7976,12000,2978.9078472579927,-1.12844,0.950904,0.0887946,0.964298,-5.77272,-0.520735,-0.00574352,43.1921,0.0116956,33.4089,97.37379738800064,0.721711
0.0231339,42.6741,32.8106,270000,105.22645009400003,-75.6902,18.0694,4.73286,0.12386880815029144,-0.101798,-35.4813,32.68260645200189,3100,-0.13591,12,0.339702,234.8271003960017,0.012386880815029144,0.0130726,-21.28144738,-0.00453667,0.00815872,-21.2065438139,-2.71526,-0.181033,-0.00364505,13.9486,0.00043033,0.777549,13.8483,-63.8485,13000,3213.6025054809948,-0.713418,0.937497,0.102472,0.94592,-5.92992,-0.495768,-0.00575739,45.7255,0.00613038,35.3459,96.91804384999978,0.655206
0.0129534,45.1205,34.2742,285000,106.5612616619992,-68.9324,29.2354,2.99028,0.24703988432884216,-0.0953455,-36.7351,32.66172465600175,3300,-0.13302,13,0.356748,236.00898573500126,0.024703988805413246,0.0194109,-21.2520006635,-0.00453639,0.00989659,-21.2742905754,-2.69976,-0.163084,-0.00342882,12.7749,0.000450808,1.12247,12.6686,-64.2116,14000,3450.9693049819966,-1.28322,0.932473,0.113072,0.928553,-5.70286,-0.420543,-0.00609318,48.0021,0.00309572,37.0073,96.78599941700031,0.379203
0.0194387,73.2146,34.6095,300000,105.69727983099983,-57.2318,20.9777,3.6384,0.165196493268013,-0.087943,-37.3011,32.726247413004785,3500,-0.136451,14,0.396926,236.56754771200485,0.01651964895427227,0.0201776,-21.1821004223,-0.00469337,0.0117775,-21.3389849888,-2.6829,-0.256634,-0.00379868,16.1379,0.000414211,1.86913,16.1833,-56.3486,15000,3685.916864295003,1.26831,0.949757,0.128652,0.933515,-6.37227,-0.916741,-0.00577737,73.3998,0.0165925,36.4998,98.14402046800024,1.0049
0.0200275,78.7374,37.4696,315000,104.4221537960002,-78.2353,25.724,3.81607,0.11628510057926178,-0.0956101,-40.351,32.72395487900303,3700,-0.133854,15,0.378839,233.67036361600367,0.011628510430455208,0.0185275,-21.404074293,-0.00458073,0.00988737,-21.4054905929,-2.69242,-0.172492,-0.00352842,14.8372,0.000484121,1.41141,14.7752,-74.1215,16000,3920.8635880790075,-1.19597,0.975293,0.12529,0.943304,-5.77797,-0.480413,-0.00606853,80.2727,0.0137537,39.5562,96.52425494100044,0.435888
0.0184142,50.8421,37.8903,330000,106.51050787199983,-84.1497,17.8222,2.78897,0.050203658640384674,-0.0772487,-40.8004,32.36828290200174,3900,-0.132251,16,0.367797,236.67980660300145,0.005020366050302982,0.0207416,-20.5761005226,-0.00459352,0.0112942,-20.5357314828,-2.6955,-0.203478,-0.00321232,15.9168,0.000565705,0.520029,16.0068,-77.93,17000,4157.663156829008,-0.718542,0.92974,0.122777,0.969576,-5.6178,-0.584236,-0.00617847,54.3002,0.00457273,40.8834,97.80101582899988,0.68311
0.0205122,52.4889,36.4452,345000,106.6590287400004,-99.9951,23.1684,4.77816,0.22711879014968872,-0.0662698,-39.0972,33.121970475001945,4100,-0.132666,17,0.371502,237.70256353600234,0.022711878642439842,0.0280421,-21.624424142,-0.00448657,0.0128059,-21.6528642214,-2.6876,-0.309156,-0.0033019,21.0953,0.000398201,1.05431,21.0772,-90.8118,18000,4393.893536487009,0.490485,0.936618,0.127327,0.919203,-5.47622,-1.24732,-0.00545885,55.7398,0.00131989,39.0975,97.921564321,1.24852
0.0280641,54.2108,40.7153,360000,104.44187071799934,-80.1042,25.9263,4.00375,0.16132913529872894,-0.0577894,-43.5613,32.441313078994426,4300,-0.132768,18,0.391139,233.3323699919938,0.016132913529872894,0.0127284,-20.5189083362,-0.00456304,0.0125742,-20.5553030706,-2.6837,-0.270475,-0.00366131,18.1661,0.000389216,0.797956,18.0244,-75.9254,19000,4626.748908125006,0.0632124,0.97097,0.137066,0.937276,-5.22747,-0.881489,-0.00565451,57.4977,0.0138631,43.2929,96.44918619500004,0.979223
0.0126494,55.4095,39.8799,375000,103.79246006299945,-81.5448,33.3951,4.95395,0.04967302083969116,-0.0459335,-42.8432,32.08620253999379,4500,-0.133016,19,0.407549,231.85125252399394,0.004967302083969116,0.0224035,-20.9580268679,-0.00451488,0.0141288,-21.0489882192,-2.68,-0.24387,-0.00302353,20.1649,0.000486722,1.0238,20.0606,-77.4747,20000,4860.024426351,-0.354056,0.968769,0.138625,0.964072,-5.45499,-0.950013,-0.00572552,58.3228,0.00329287,42.2709,95.97258992100069,0.965377
