Policy log std Mean,Q Predictions Std,Policy mu Std,Train Time (s),V Predictions Mean,R Predictions Max,QF Loss,Policy mu Min,VF Loss,Q Predictions Mean,AverageReturn_all_test_tasks,Policy Loss,R Predictions Min,(Previous) Eval Time (s),V Predictions Std,Log Pis Mean,Z mean eval,Total Train Time (s),Z variance eval,Policy log std Max,Policy log std Std,Policy mu Mean,V Predictions Min,Sample Time (s),Epoch Time (s),Q Predictions Min,KL Divergence,RF Loss,V Predictions Max,KL Loss,Log Pis Max,Epoch,R Predictions Mean,Number of train steps total,Log Pis Std,Z variance train,AverageReturn_all_train_tasks,Z mean train,Q Predictions Max,Policy log std Min,R Predictions Std,Number of env steps total,Policy mu Max,Number of rollouts total,Log Pis Min
-0.214237,1062.24,1.19393,103.10167785299973,391.671,0.00414229,8525.01,-2.884,1251.67,384.619,-72.1896916115,-401.658,0.000679335,93.3263421480001,1053.63,0.658865,5.29985,2650.571157625006,0.733202,0.379783,0.223629,0.0903519,25.9219,31.2431186170038,227.67113861800362,17.6687,419.77886962890625,175.028,7297.32,41.97788619995117,14.3485,10,0.00264117,11000,4.88583,0.172462,-70.1315269554,1.11732,7891.2,-1.07165,0.00076161,240000,2.81032,2700,-6.71122
-0.151195,98.558,0.601571,103.15131280699961,76.4584,0.00348861,1554.74,-2.60759,57.3124,72.6518,-73.5708050699,-75.4392,0.000331213,93.208707452,94.4461,-1.78563,6.4155,2878.655685808006,0.804375,0.415523,0.128987,0.061315,27.0142,31.4820234000008,227.8420436590004,22.8982,1189.2474365234375,17.3778,1397.58,118.92474365234375,13.7909,11,0.00196102,12000,2.19998,0.261858,-70.9251822404,1.84867,1379.75,-0.801262,0.000681663,255000,2.67467,2900,-7.48963
-0.217061,673.071,1.0554,104.4399134539999,302.077,0.00397421,9405.71,-2.79562,340.628,291.482,-73.2058964051,-301.512,-7.06182e-05,93.45148644099982,688.651,-0.0181659,4.97765,3108.9814376260083,0.606571,0.638658,0.199573,0.0541602,26.4974,31.97828143200195,229.86968132700167,20.5025,1397.5413818359375,180.836,6860.6,139.75413513183594,13.6371,12,0.00175852,13000,4.368,0.0898829,-72.2778863281,0.362378,6968.49,-0.719806,0.0011299,270000,2.69491,3100,-6.62764
-0.17726,482.221,0.827207,105.33656419699992,188.785,0.004009,18522.7,-2.54331,417.336,180.646,-70.9417815607,-183.763,0.000804332,93.90779803899977,496.566,-0.961258,3.37407,3339.7314024560064,0.394284,0.743009,0.175659,0.0670632,26.8281,32.044792443998176,231.28915467999786,18.7193,1287.555908203125,18.2202,7691.82,128.75559997558594,13.2739,13,0.00211277,14000,3.32718,0.499203,-68.8079307249,4.09807,7409.04,-1.04966,0.000714238,285000,2.67455,3300,-6.79417
-0.241543,732.82,1.07013,103.85880711600021,314.819,0.00404618,17857.9,-3.41179,1293.7,291.315,-71.9764157145,-295.654,0.000717839,93.36840446299993,767.629,0.0255715,3.44601,3569.7810267570057,0.386055,0.428647,0.193731,0.0339302,27.3296,32.16116303099943,229.38837460999957,14.5324,949.3797607421875,14.786,8371.18,94.93798065185547,20.0961,14,0.00240418,15000,4.52597,0.212903,-66.292993667,1.70685,7995.26,-0.924519,0.000757206,300000,3.79154,3500,-8.74262
-0.163136,422.11,0.685266,103.4115031450001,135.2,0.00401093,2310.46,-2.57705,98.2691,134.551,-67.3833356884,-139.215,0.00087742,94.03031772900022,430.745,-1.55381,1.18638,3798.8414376220057,0.101266,0.55359,0.124031,-0.0148483,27.1414,31.72112076999929,229.1629416439996,20.5104,1152.96435546875,14.386,6909.56,115.29644012451172,14.7731,15,0.00214539,16000,2.78462,0.541917,-64.5291881552,4.82909,6675.85,-1.16935,0.000645147,315000,2.63694,3700,-5.82032
-0.200688,817.974,1.19225,104.08608615200046,382.955,0.00395941,8596.3,-3.90957,904.524,368.493,-72.3027973427,-386.565,0.000250819,93.92796896800019,839.052,0.320861,0.948593,4028.902015472006,0.0679314,0.131653,0.15782,0.0347335,36.6595,31.769714498999747,229.7837696190004,25.9353,1363.181884765625,17.5887,12822.5,136.3181915283203,21.7458,16,0.00190959,17000,5.42175,0.266456,-64.6763576857,3.26518,13207.4,-2.0725,0.000967376,330000,3.94373,3900,-6.80825
-0.192379,554.481,0.908438,103.60751583400088,219.147,0.00388074,2345.8,-3.21021,718.014,208.728,-70.1256487848,-219.09,0.000808887,94.20512493499973,579.706,-0.790551,0.572319,4258.629355101006,0.048401,0.067722,0.152692,0.0143212,29.0842,31.84193195199896,229.65457272099957,16.7031,745.085693359375,341.108,9322.49,74.5085678100586,18.2346,17,0.00206003,18000,3.7141,0.359779,-65.1333853263,5.40818,9014.15,-1.66584,0.00065855,345000,3.73569,4100,-6.32158
-0.142294,78.969,0.614783,103.54620298600003,68.3075,0.00389049,386.749,-3.45598,110.01,70.3521,-75.6738334573,-74.219,0.000883214,94.27842352800053,71.7471,-1.76927,0.622533,4487.868493684005,0.0377465,0.365207,0.085266,-0.0180075,27.7294,31.65321616900019,229.47784268300074,22.7378,833.5761108398438,18.362,1585.3,83.35761260986328,14.6501,18,0.00197922,19000,1.89407,0.210198,-67.2279389397,3.01558,1705.45,-0.656867,0.000501925,360000,3.03293,4300,-7.56345
-0.177665,564.351,0.967603,104.1855199290003,202.714,0.0038171,1633.11,-3.09569,151.922,200.697,-64.8974258648,-206.115,0.000927062,94.03974490000019,572.598,-0.532545,3.17849,4718.308859944002,0.151497,0.618785,0.146205,0.0401289,29.3926,31.574487355996098,229.79975218499658,20.4051,587.4026489257812,16.8955,5594.38,58.740264892578125,18.5335,19,0.00207197,20000,3.79333,0.0819779,-64.5806492311,1.56941,5527.89,-0.889039,0.000655974,375000,3.64999,4500,-7.60513
