QF Loss,Number of train steps total,Q Predictions Max,AverageReturn_all_train_tasks,Log Pis Std,Z mean train,R Predictions Min,Z variance train,VF Loss,Policy log std Max,Policy log std Std,RF Loss,Total Train Time (s),Policy log std Min,Epoch,V Predictions Std,Epoch Time (s),Number of rollouts total,KL Loss,Policy mu Max,Q Predictions Std,V Predictions Min,Q Predictions Mean,Policy mu Std,Q Predictions Min,Log Pis Mean,Policy Loss,(Previous) Eval Time (s),R Predictions Max,Log Pis Max,V Predictions Mean,Z mean eval,R Predictions Std,V Predictions Max,Policy mu Min,R Predictions Mean,KL Divergence,Number of env steps total,Train Time (s),Policy log std Mean,Sample Time (s),Log Pis Min,Policy mu Mean,Z variance eval,AverageReturn_all_test_tasks
1.70748e+07,11000,51192.3,10970.9568963,7.79684,3.68339,-0.00487146,0.00680618,379244.0,2.0,1.20738,1.03251e+06,2715.2059030620017,-4.0432,10,5003.71,233.0800227529994,2700,502.2137756347656,7.53659,5343.95,21822.7,33770.3,7.00031,20438.6,20.4384,-34458.3,94.64245224099977,0.00494225,40.6791,34455.3,8.85167,0.00410358,49634.7,-24.1721,-0.00146699,5022.1376953125,240000,106.51882865800007,-0.944159,31.918741853999563,-4.41449,-0.344795,0.000372424,11628.7464975
2.03735e+07,12000,52736.6,11461.2431016,5.41641,7.84534,-0.0051698,0.00043002,351916.0,2.0,1.15309,536747.0,2948.6638155660007,-4.78073,11,5670.82,233.16545655999926,2900,619.0219116210938,6.93577,6075.69,25456.1,38537.6,9.60426,22584.7,24.2583,-39296.6,94.4741437749999,0.00431426,36.0627,39266.5,8.29268,0.00373629,53716.4,-27.4533,-0.00251673,6190.21923828125,255000,106.50706181199985,-0.443084,32.18425097299951,2.71851,-1.67748,0.000272894,11572.7548898
2.32717e+07,13000,56653.0,10565.2670867,3.88225,4.46353,-0.00492393,0.00706714,442000.0,1.28283,0.707937,305778.0,3181.2557673670017,-3.32978,12,5290.08,233.09879913100076,3100,714.792236328125,5.73957,5783.08,34767.0,43544.5,6.20901,32443.7,25.7217,-44473.0,94.76661878000004,0.00398389,33.1453,44456.1,8.15227,0.00276633,56661.2,-16.5159,-0.00362182,7147.92236328125,270000,106.16451125799995,-0.451445,32.16766909300077,6.44337,0.607408,3.54259e-06,10942.5029713
5.09494e+07,14000,94343.6,10345.981289,3.33975,8.01987,-0.00475299,4.30445e-06,504245.0,0.754332,0.364583,425015.0,3414.182574470999,-3.59601,13,9623.83,232.8306452239981,3300,722.2050170898438,7.75807,9882.18,38250.4,50831.8,3.38432,36597.1,21.8525,-51998.3,94.26012333300014,0.00396258,34.5418,51993.0,8.05702,0.00286086,97878.6,-7.9395,-0.00290795,7222.0498046875,285000,106.29943410700025,-0.764349,32.2710877839977,2.11735,1.77372,5.81102e-07,11880.2867565
3.42561e+07,15000,101885.0,13214.3723147,4.74623,8.08637,-0.00480102,5.18783e-07,1.17408e+06,1.09705,0.605231,310069.0,3646.681484954997,-4.94215,14,11714.1,232.5432465279987,3500,734.7611694335938,9.95993,11268.8,35197.9,56371.0,3.40668,35942.8,21.0977,-57620.7,94.357034182,0.00331854,44.4907,56849.7,7.7872,0.00286485,105876.0,-9.2171,-0.00284039,7347.611328125,300000,106.18865022499995,-0.843422,31.997562120998737,1.74379,1.58649,3.22327e-07,13812.1149973
3.83739e+07,16000,80936.0,12984.0393074,5.07418,7.77246,-0.00464585,2.83949e-07,802136.0,0.474409,0.590286,447364.0,3879.3376639889957,-3.99482,15,9139.32,232.62364041599812,3700,706.9269409179688,8.26736,9367.62,33690.2,58058.0,3.68759,33472.9,24.7744,-59209.4,94.31260476999978,0.00299045,39.0293,58963.5,7.67807,0.00278079,83773.6,-6.41512,-0.00277816,7069.26953125,315000,106.44409325599963,-0.81718,31.866942389998712,2.16089,2.12634,2.3218e-07,14196.4617823
3.67663e+07,17000,89167.0,15981.4237251,3.72107,7.75088,-0.00455803,2.55783e-07,1.06623e+06,-0.253429,0.39022,159862.0,4111.733974999001,-3.07914,16,14164.1,232.62806474800482,3900,803.068359375,6.41288,14037.1,32949.3,60168.0,3.31884,31724.5,22.3714,-61577.3,94.34538106399987,0.000809072,36.5409,61672.8,7.55033,0.00112647,90402.6,-6.02221,-0.00404219,8030.68359375,330000,106.47949469200012,-0.75131,31.803188992004834,7.10945,2.0377,1.24728e-07,18040.9200976
5.98322e+07,18000,90207.8,18463.8788954,4.6089,7.5889,-0.0043618,8.45837e-08,786941.0,0.508964,0.417739,462262.0,4344.436408143998,-2.90805,17,10499.8,232.4841052979973,4100,721.7581176757812,10.058,10819.8,32303.2,65153.6,3.65903,31366.3,24.2412,-66707.2,94.11415431600017,0.00180777,43.2296,66396.2,5.70251,0.00206694,89748.3,-7.66898,-0.00323784,7217.5810546875,345000,106.3733649700007,-0.660472,31.996586011996442,1.45658,2.09016,1.25291e-06,22828.5178026
7.38954e+07,19000,133797.0,8959.33565703,5.28097,7.30277,-0.00420959,4.61268e-07,8.55515e+06,2.0,0.596244,323286.0,4576.441241017001,-3.35236,18,17600.3,232.01225765100298,4300,685.3322143554688,33.3179,17276.1,33461.2,74355.3,4.27809,32453.6,23.2424,-76304.1,94.33274647999951,0.00189292,42.2841,76645.3,5.46273,0.00179355,139410.0,-7.01779,-0.00291149,6853.322265625,360000,105.88622289500017,-0.795295,31.793288276003295,0.762273,1.92247,0.000100038,8917.71589034
1.62246e+08,20000,127435.0,8599.79464666,4.03377,5.15173,-0.000550448,0.000981492,621931.0,2.0,1.36579,427266.0,4808.866137078003,-4.32749,19,15674.4,232.54531086600218,4500,346.7843322753906,87.7442,15911.7,60756.5,95516.9,23.2534,59877.6,40.0039,-96979.9,94.32569010099996,0.00155325,53.1553,96831.0,5.97539,0.000361307,127782.0,-21.8262,0.000637835,3467.84326171875,375000,106.29080518699993,0.878401,31.928815578002286,18.0717,23.6977,0.000126693,8880.16729219
1.01332e+08,21000,124109.0,9041.12919228,1.88617,5.78158,-0.000983808,0.00011566,575719.0,2.0,1.16857,629481.0,5041.080238767003,-1.07384,20,13120.7,232.31725268199898,4700,378.1383972167969,49.9265,13452.2,65059.2,103230.0,16.278,63145.3,37.4284,-104445.0,94.20591969299949,0.000735536,41.837,104759.0,5.62155,0.000313211,125907.0,-4.61299,0.000281831,3781.3837890625,390000,106.25215162800032,1.2421,31.859181360999173,21.3976,22.7959,9.54109e-05,8885.15226051
1.35846e+08,22000,127976.0,8921.90882495,1.92596,5.69493,-0.000460493,7.59439e-05,795377.0,2.0,1.14247,211337.0,5272.966280945008,-0.778766,21,14933.6,231.72552705800445,4900,379.5154724121094,42.7482,15291.2,67927.5,101788.0,15.586,65188.8,37.1088,-103411.0,94.10290871300003,0.000652755,40.971,103841.0,5.652,0.000152518,129856.0,-4.46551,0.000289004,3795.15478515625,405000,105.92220975300006,1.3242,31.70040859200435,13.3682,22.093,5.24324e-05,8866.84092963
1.32835e+08,23000,134301.0,8632.1877315,2.02911,5.64022,-7.13416e-06,5.98769e-05,567802.0,2.0,1.15357,232619.0,5505.212278889011,-0.758826,22,13352.1,232.28297478200238,5100,364.91046142578125,42.99,13712.1,73222.1,104243.0,15.9813,70326.2,36.6373,-105596.0,94.2639381200006,0.000983423,40.0555,105201.0,5.54984,0.000129641,135515.0,-4.33385,0.000521161,3649.1044921875,420000,106.35671459500008,1.33386,31.662322067001696,15.428,22.7742,6.21284e-05,8870.7457432
1.75787e+08,24000,138646.0,9023.33807277,3.0631,6.92189,-0.00346107,0.00334189,1.0431e+06,2.0,1.17819,462484.0,5737.706411773013,-2.08533,23,16263.2,232.48636285000157,5300,364.4436950683594,66.8417,16056.1,70969.7,105078.0,16.3881,69893.5,37.6016,-106333.0,94.22748204500022,0.00107252,48.9496,106767.0,5.5608,0.000960403,140750.0,-31.8213,0.000289429,3644.43701171875,435000,106.17438827600017,1.29142,32.08449252900118,16.9075,21.1834,0.000134422,8914.88898083
1.62018e+08,25000,154424.0,8858.26980291,3.1241,6.36445,-4.56807e-05,7.79883e-07,821023.0,2.0,1.2602,418888.0,5970.0757016560165,-2.04736,24,30259.3,232.428194025003,5500,301.45654296875,67.6406,30021.0,29247.5,94960.4,23.8483,29151.6,36.8761,-96125.2,94.23491814800036,0.00242685,49.9413,96436.1,6.38364,0.000473295,154833.0,-29.6401,0.00070459,3014.5654296875,450000,106.34646682699986,1.20819,31.846809050002776,19.7522,29.678,0.000352136,8881.01203417
1.13455e+08,26000,127845.0,8711.66435256,1.89755,5.19548,-0.00214109,0.00118041,917296.0,2.0,1.15053,474335.0,6202.766980029013,-0.761554,25,19562.1,232.70791995799755,5700,369.52496337890625,50.1475,19173.5,49527.3,91929.2,17.4803,48499.7,36.82,-93111.1,94.17677689599986,0.000772008,41.536,93627.1,5.02435,0.000500203,128435.0,-5.03014,-0.00128902,3695.24951171875,465000,106.78127359700011,1.33589,31.749869464997573,12.9011,25.4968,0.000719822,8952.56599113
9.41929e+07,27000,134623.0,9196.68624421,2.02249,5.45245,-0.00183829,0.000209738,439736.0,2.0,1.16534,260946.0,6434.963600343014,-0.782472,26,24872.0,232.33706618600172,5900,313.8488464355469,36.4996,24326.0,43228.0,87956.2,14.7455,43392.0,36.4324,-89150.1,94.16076510899984,-0.000360302,40.2919,89130.3,5.08116,0.000283925,135161.0,-4.59916,-0.000934042,3138.488525390625,480000,106.30160391499976,1.32732,31.87469716200212,18.989,21.5756,2.62073e-05,8894.80021743
8.42437e+07,28000,141724.0,13592.6543515,2.13616,5.41408,-0.00184867,1.39683e-05,2.26366e+06,2.0,1.33882,81387.9,6665.870551814014,-1.70259,27,29511.7,231.84835520199977,6100,325.8726501464844,44.0209,29126.9,40180.1,89071.1,15.2421,38530.1,37.3536,-89209.8,94.02055637600006,-0.00031176,41.5867,90546.0,5.25141,0.000413501,142669.0,-5.18121,-0.00102555,3258.726318359375,495000,105.90656058299919,1.22898,31.921238243000516,18.8317,21.7063,0.000162263,14063.0464098
